RT,113050
the,65337
to,53764
a,41459
and,37416
of,33956
I,32824
is,30908
you,28322
in,28271
for,26160
on,17538
this,17029
that,15489
my,15054
with,13577
are,13236
be,12606
it,11507
your,11057
have,10547
me,10392
i,10019
The,9743
at,9344
so,9068
not,8944
was,8448
like,8114
just,7676
but,7623
all,7518
will,7466
from,7386
-,7011
we,7001
as,6917
about,6795
&amp;,6209
by,6209
who,6202
he,6152
can,6115
they,5871
has,5815
when,5676
This,5641
his,5575
do,5490
get,5437
if,5423
up,5386
one,5168
out,5040
what,4913
how,4866
an,4790
know,4691
people,4528
You,4324
our,4222
A,4209
no,4049
want,3923
I’m,3914
her,3830
their,3818
love,3788
or,3786
If,3764
more,3656
We,3631
been,3337
time,3334
think,3181
need,3148
My,3083
don’t,3080
now,3047
see,2965
some,2913
only,2839
really,2833
I'm,2801
because,2736
than,2628
u,2622
make,2622
good,2617
new,2607
would,2565
today,2554
she,2535
day,2494
got,2477
go,2412
am,2375
had,2365
never,2364
going,2354
after,2345
someone,2338
them,2302
over,2276
him,2226
don't,2199
back,2192
still,2156
it’s,2128
first,2118
why,2115
us,2112
being,2109
say,2089
What,2057
It,2044
even,2038
should,2008
said,1978
He,1935
there,1923
best,1910
way,1906
And,1897
Just,1862
did,1829
When,1818
then,1817
always,1790
too,1789
could,1773
So,1758
In,1745
.,1744
feel,1744
last,1740
into,1735
much,1727
right,1717
look,1716
were,1710
It’s,1685
here,1685
3,1676
take,1668
these,1658
other,1646
person,1646
2,1635
it's,1633
life,1628
ever,1616
To,1615
any,1614
Thank,1595
made,1579
Trump,1569
work,1560
most,1559
every,1558
many,1542
No,1542
Biden,1542
How,1536
help,1527
THE,1526
very,1513
They,1504
shit,1500
:,1479
years,1477
More,1469
its,1465
getting,1435
tell,1433
where,1429
t…,1428
It's,1417
man,1415
give,1406
vote,1406
Good,1395
@BTS_twt,1391
can’t,1369
But,1360
1,1360
please,1356
you’re,1346
you're,1344
also,1335
March,1296
im,1296
Bernie,1270
everyone,1267
thing,1260
before,1251
come,1250
off,1249
those,1248
stop,1243
better,1227
which,1215
video,1214
may,1206
doing,1204
while,1194
something,1190
it.,1187
",",1186
For,1177
happy,1164
keep,1161
live,1150
2020,1150
morning,1148
same,1140
old,1134
wanna,1134
YOU,1131
does,1130
lot,1126
gonna,1122
year,1122
a…,1118
New,1111
show,1109
can't,1103
things,1101
let,1101
i’m,1101
you.,1100
Me,1099
against,1092
Joe,1077
Please,1073
😂,1065
real,1062
All,1060
two,1054
Why,1054
great,1053
One,1046
down,1040
fuck,1036
big,1030
hope,1030
Do,1021
since,1021
world,1017
ON,1003
4,999
On,995
Your,992
trying,992
next,983
actually,972
As,965
5,964
part,953
top,952
says,947
through,946
end,943
coronavirus,936
That,931
10,930
|,924
find,923
support,922
put,922
Love,922
@realDonaldTrump,922
Is,921
fucking,918
TO,917
saying,915
week,914
She,914
believe,912
hate,911
...,910
Super,910
IS,908
God,908
There,907
little,903
around,902
friends,899
another,889
me.,887
🗳️,887
Not,886
Happy,882
having,881
I’ve,876
!,870
use,866
women,865
own,864
AND,860
bad,859
the…,852
via,848
away,841
looking,839
—,839
without,836
miss,836
follow,835
again,835
coming,835
song,834
Now,832
home,829
days,829
talk,826
hard,823
🥺,823
call,812
😭,812
y’all,807
sure,796
THIS,795
start,792
1.,791
didn’t,790
everything,790
"you,",788
Are,786
night,785
beautiful,775
well,766
tweet,765
hours,764
media,763
